"week_ending","show","seats_sold"
"2004-10-24","'night, Mother",2342
"2004-10-31","'night, Mother",3696
"2004-11-07","'night, Mother",3642
"2004-11-14","'night, Mother",4337
"2004-11-21","'night, Mother",3551
"2004-11-28","'night, Mother",2732
"2004-12-05","'night, Mother",3312
"2004-12-12","'night, Mother",3274
"2004-12-19","'night, Mother",3104
"2004-12-26","'night, Mother",1747
"2005-01-02","'night, Mother",3565
"2005-01-09","'night, Mother",3176
"2003-05-11","""Master Harold""...and the Boys",3808
"2003-05-18","""Master Harold""...and the Boys",5174
"2003-05-25","""Master Harold""...and the Boys",4453
"2003-06-01","""Master Harold""...and the Boys",4112
"2003-06-08","""Master Harold""...and the Boys",5609
"2003-06-15","""Master Harold""...and the Boys",6057
"2003-06-22","""Master Harold""...and the Boys",6744
"2003-06-29","""Master Harold""...and the Boys",6746
"2003-07-06","""Master Harold""...and the Boys",6061
"2003-07-13","""Master Harold""...and the Boys",7108
"2008-07-06","[title of show]",1490
"2008-07-13","[title of show]",3863
"2008-07-20","[title of show]",3543
"2008-07-27","[title of show]",3786
"2008-08-03","[title of show]",3986
"2008-08-10","[title of show]",3542
"2008-08-17","[title of show]",3616
"2008-08-24","[title of show]",3324
"2008-08-31","[title of show]",3650
"2008-09-07","[title of show]",2354
"2008-09-14","[title of show]",2224
"2008-09-21","[title of show]",2615
"2008-09-28","[title of show]",2748
"2008-10-05","[title of show]",3209
"2008-10-12","[title of show]",3944
"2007-04-15","110 in the Shade",3817
"2007-04-22","110 in the Shade",5272
"2007-04-29","110 in the Shade",6458
"2007-05-06","110 in the Shade",4135
"2007-05-13","110 in the Shade",5913
"2007-05-20","110 in the Shade",6768
"2007-05-27","110 in the Shade",6850
"2007-06-03","110 in the Shade",7016
"2007-06-10","110 in the Shade",7177
"2007-06-17","110 in the Shade",7231
"2007-06-24","110 in the Shade",6804
"2007-07-01","110 in the Shade",6972
"2007-07-08","110 in the Shade",6705
"2007-07-15","110 in the Shade",7400
"2007-07-22","110 in the Shade",6364
"2007-07-29","110 in the Shade",7148
"2008-09-21","13",4105
"2008-09-28","13",3524
"2008-10-05","13",2588
"2008-10-12","13",4594
"2008-10-19","13",4317
"2008-10-26","13",4074
"2008-11-02","13",3803
"2008-11-09","13",5016
"2008-11-16","13",3573
"2008-11-23","13",3823
"2008-11-30","13",4975
"2008-12-07","13",4359
"2008-12-14","13",4617
"2008-12-21","13",4281
"2008-12-28","13",6344
"2009-01-04","13",8914
"1997-07-20","1776",3438
"1997-07-27","1776",3986
"1997-08-03","1776",3992
"1997-08-10","1776",3928
"1997-08-17","1776",3483
"1997-08-24","1776",3958
"1997-08-31","1776",3992
"1997-09-07","1776",3955
"1997-09-14","1776",3992
"1997-09-21","1776",3921
"1997-09-28","1776",3860
"1997-10-05","1776",3798
"1997-10-12","1776",3943
"1997-10-19","1776",3901
"1997-10-26","1776",3885
"1997-11-02","1776",3903
"1997-11-09","1776",3897
"1997-11-16","1776",3952
"1997-12-07","1776",11346
"1997-12-14","1776",11824
"1997-12-21","1776",12713
"1997-12-28","1776",11394
"1998-01-04","1776",10988
"1998-01-11","1776",11154
"1998-01-18","1776",13428
"1998-01-25","1776",10319
"1998-02-01","1776",10784
"1998-02-08","1776",7983
"1998-02-15","1776",12037
"1998-02-22","1776",10217
"1998-03-01","1776",9433
"1998-03-08","1776",9221
"1998-03-15","1776",10149
"1998-03-22","1776",10438
"1998-03-29","1776",9972
"1998-04-05","1776",8720
"1998-04-12","1776",8240
"1998-04-19","1776",10742
"1998-04-26","1776",9422
"1998-05-03","1776",8887
"1998-05-10","1776",7575
"1998-05-17","1776",8651
"1998-05-24","1776",9298
"1998-05-31","1776",8189
"1998-06-07","1776",9183
"1998-06-14","1776",13592
"2017-05-21","1984",3378
"2017-05-28","1984",5079
"2017-06-04","1984",5230
"2017-06-11","1984",5554
"2017-06-18","1984",6018
"2017-06-25","1984",6737
"2017-07-02","1984",6617
"2017-07-09","1984",5863
"2017-07-16","1984",5831
"2017-07-23","1984",5908
"2017-07-30","1984",5778
"2017-08-06","1984",5282
"2017-08-13","1984",5332
"2017-08-20","1984",4690
"2017-08-27","1984",4491
"2017-09-03","1984",4671
"2017-09-10","1984",4438
"2017-09-17","1984",4920
"2017-09-24","1984",4417
"2017-10-01","1984",5012
"2017-10-08","1984",6986
